Wine_Id,product_link,image_link
56,https://labodega.consum.es/tintos/luzon-075l,https://labodega.consum.es/public/Image/2018/3/7195790_normal.png
57,https://labodega.consum.es/tintos/castillosansimon-075l,https://labodega.consum.es/public/Image/2018/3/7120389_normal.png
58,https://labodega.consum.es/tintos/atrium-075l,https://labodega.consum.es/public/Image/2018/3/7276181_normal.png
59,https://labodega.consum.es/tintos/closcorriol-075l,https://labodega.consum.es/public/Image/2018/3/7097207_normal.png
60,https://labodega.consum.es/tintos/marquesdechive-075l,https://labodega.consum.es/public/Image/2018/3/4558789_normal.png
61,https://labodega.consum.es/tintos/berberana-075l,https://labodega.consum.es/public/Image/2018/3/1075100_normal.png
62,https://labodega.consum.es/tintos/rectoraldeamandi-075l,https://labodega.consum.es/public/Image/2018/3/729922_normal.png
63,https://labodega.consum.es/tintos/marquesderiscal-075l,https://labodega.consum.es/public/Image/2018/3/318204_normal.png
64,https://labodega.consum.es/tintos/elcoto-075l,https://labodega.consum.es/public/Image/2018/3/151399_normal.png
65,https://labodega.consum.es/tintos/sangredetoro-0375l,https://labodega.consum.es/public/Image/2018/3/7267367_normal.png
66,https://labodega.consum.es/tintos/soldepeas-075l,https://labodega.consum.es/public/Image/2018/3/175349_normal.png
67,https://labodega.consum.es/tintos/monologo-075l,https://labodega.consum.es/public/Image/2018/3/7187011_normal.png
68,https://labodega.consum.es/tintos/lasreas-075l,https://labodega.consum.es/public/Image/2018/7/7279255Lasreas.png_normal.jpg
69,https://labodega.consum.es/tintos/seoriodelosllanos-075l,https://labodega.consum.es/public/Image/2018/3/7107233_normal.png
70,https://labodega.consum.es/tintos/lesalcusses-075l,https://labodega.consum.es/public/Image/2018/3/7289929_normal.png
71,https://labodega.consum.es/tintos/legaris-075l,https://labodega.consum.es/public/Image/2018/3/7134398_normal.png
72,https://labodega.consum.es/tintos/alcanta-075l5,https://labodega.consum.es/public/Image/2018/3/7052889_normal.png
73,https://labodega.consum.es/tintos/campoviejo-075l10,https://labodega.consum.es/public/Image/2018/3/7275550_normal.png
74,https://labodega.consum.es/vino-martin-berasategui1,https://labodega.consum.es/public/Image/2018/11/Berasategui_tinto.png_normal.jpg
75,https://labodega.consum.es/tintos/cune-075l5,https://labodega.consum.es/public/Image/2018/7/400x900_cune.png_normal.jpg
76,https://labodega.consum.es/tintos/elmiraclemariscal-075l,https://labodega.consum.es/public/Image/2018/3/7255446_normal.png
77,https://labodega.consum.es/tintos/bach-075l,https://labodega.consum.es/public/Image/2019/1/318253_bach_normal.jpg
78,https://labodega.consum.es/tintos/cotodeimaz-075l5,https://labodega.consum.es/public/Image/2018/3/1772706_normal.png
79,https://labodega.consum.es/tintos/viaalbali-0375l,https://labodega.consum.es/public/Image/2018/3/7263882_normal.png
80,https://labodega.consum.es/tintos/enriquemendoza-075l,https://labodega.consum.es/public/Image/2018/3/7257616_normal.png
